route_id,route_name
0100000A00,0東 
0100000B00,0南 
151000200,小2 
151000220,小2區 
151000300,小3 
151000500,小5 
151000520,小5區 
151000600,小6 
151000700,小7 
151000800,小8 
151000820,小8區 
151000900,小9(台灣好行-北投竹子湖) 
151000920,小9區 
151001000,小10 
151001020,小10區 
151001100,小11 
151001200,小12 
151001400,小14 
151001500,小15 
151001520,小15區 
151001600,小16 
151001700,小17 
151001800,小18 
151001900,小19 
151002100,小21 
151002200,小22 
151002300,小23 
151002500,小25 
151002600,小26 
151002800,小28 
151003000,小30 
151003600,小36 
151003900,小39 
100090790,907通勤 
162000700,通勤7 
162000900,通勤9 
152003500,通勤11 
152003600,通勤12 
152003700,通勤13 
152003800,通勤16 
152004500,通勤18 
152004400,通勤21 
152004200,通勤22 
152004700,通勤24 
152004900,通勤25 
152005000,通勤26 
152005100,通勤27 
152005200,通勤28 
152005300,通勤29 
153000100,市民小巴1 
153000200,市民小巴2 
153000500,市民小巴5 
153000600,市民小巴6 
153000700,市民小巴7 
153000800,市民小巴8 
153000900,市民小巴9 
153001000,市民小巴10 
153001100,市民小巴11 
153001200,市民小巴12 
153001500,市民小巴15 
153001600,市民小巴16 
153001700,市民小巴17 
153001800,市民小巴18 
454010100,F101坪頂 
454010170,F101樹興 
454010200,F102 
454010300,F103 
454010500,F105 
454010590,F105反 
454010690,F106 
454010900,F109 
454012100,F121 
454012200,F122 
454012380,F123-0640、0700 
454012390,F123-1205 
454012370,F123-1550 
454012600,F126 
454012670,F126江厝 
454012690,F126經里中 
454013100,F131 
454013200,F132 
454013210,F132經青山 
454013300,F133平日 
454013360,F133假日 
454013380,F133末班 
454013500,F135 
454013600,F136 
454013700,F137 
454013800,F138內橫山 
454013870,F138新古庄 
454013970,F139行經101線 
454013900,F139行經台2線 
454015180,F151-0605 
454015100,F151-0620 
454115100,F151-0655、1030 
454015110,F151-0730 
454015190,F151-0800 
454015170,F151-0830、1655 
454015120,F151-0930 
454015130,F151-1000 
454015140,F151-1605 
454015150,F151-1625 
454215100,F151-1730 
454015160,F151-1800 
454015280,F152-0600 
04540152A0,F152-0620、0745 
454015200,F152-0635 
454015210,F152-0700 
454015220,F152-0810 
454015290,F152-0845 
454015230,F152-0925 
04540152C0,F152-0950 
454015240,F152-1545 
04540152D0,F152-1630 
454015250,F152-1655 
454015260,F152-1720 
4540152,F152-1740 
04540152B0,F152-1800 
454015380,F153-0620 
454015330,F153-0730、0945 
